Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,12.041595,10.049876,16.031220,13.928388,51.039201,48.662100,15.000000,23.046000ms,
Doubt,11.045361,10.049876,16.124515,14.866069,53.009433,44.553339,30.473482,23.212000ms,
Happy,10.049876,11.045361,15.297059,16.552945,51.039201,45.398238,43.000000,23.315000ms,
Doubt,11.045361,10.049876,15.297059,14.317821,51.400389,43.185646,35.494656,23.476000ms,
Happy,10.000000,10.198039,17.262677,15.652476,50.803543,45.177428,38.977453,23.599000ms,
Happy,9.000000,9.000000,17.262677,15.652476,52.201533,45.177428,38.528978,23.756000ms,
Doubt,10.049876,10.000000,17.262677,17.464249,52.801515,43.289722,34.000000,23.930000ms,
Doubt,11.000000,11.045361,17.262677,17.464249,50.803543,43.416587,36.523363,24.047000ms,
Happy,9.000000,10.049876,17.117243,15.652476,52.201533,43.289722,52.077266,24.212000ms,
Happy,10.000000,10.049876,16.492423,17.464249,53.009433,43.289722,50.000000,24.341000ms,
Happy,10.049876,9.055385,16.492423,17.888544,52.201533,45.177428,47.000000,24.528000ms,
Happy,10.000000,9.000000,17.262677,17.888544,52.201533,45.276926,46.000000,24.667000ms,
Happy,9.000000,9.000000,16.492423,16.552945,53.009433,44.283180,46.000000,24.799000ms,
Happy,9.000000,10.049876,16.124515,15.811388,51.613952,44.407207,46.527769,24.964000ms,
Happy,8.062258,7.000000,18.681542,16.552945,50.219518,44.407207,33.494724,25.075000ms,
Happy,7.000000,6.082763,20.615528,17.464249,53.600373,45.398238,37.921987,25.229000ms,
Happy,6.082763,6.000000,20.880613,19.313208,52.630789,47.265209,40.354778,25.398000ms,
Happy,6.000000,6.000000,19.646883,18.384776,51.855569,45.276926,40.354778,25.521000ms,
Happy,6.082763,7.000000,19.646883,17.888544,52.009614,44.181444,42.411867,25.683000ms,
Happy,7.071068,7.000000,21.189620,17.464249,53.263496,45.276926,41.841632,25.836000ms,
Happy,9.000000,8.000000,17.720045,17.088007,54.405882,47.265209,42.536658,26.001000ms,
Doubt,10.049876,11.000000,16.492423,16.155494,54.644304,48.373546,42.000000,26.123000ms,
Surprised,11.000000,11.180340,16.124515,15.811388,54.378304,50.249378,41.547036,26.274000ms,
Surprised,10.198039,10.198039,18.110770,15.231546,58.830264,52.345009,39.547101,26.427000ms,
Doubt,12.000000,11.180340,17.464249,15.231546,56.603887,50.358713,37.096367,26.571000ms,
Doubt,15.033296,14.035669,16.124515,15.231546,55.758407,48.507731,37.544893,26.714000ms,
Doubt,15.000000,14.035669,16.124515,15.231546,55.470713,48.507731,37.541708,26.834000ms,
Doubt,14.035669,14.142136,17.029386,16.155494,56.603887,48.373546,38.541671,26.983000ms,
Doubt,14.035669,13.038405,17.000000,15.811388,56.603887,48.662100,38.079277,27.135000ms,
Doubt,15.033296,15.132746,18.439089,16.155494,56.035703,48.373546,35.000000,27.284000ms,
Doubt,16.000000,15.132746,18.110770,15.811388,55.470713,49.497475,35.052086,27.441000ms,
